field	type	asl	initial	promptgroup	prompt	special	pp	interest	base	size	extra	menu
SDIS	DBF_INLINK			GUI_SCAN	"Scanning Disable"			1				
SEVR	DBF_MENU		"INVALID"		"Alarm Severity"	SPC_NOMOD						menuAlarmSevr
SIML	DBF_INLINK			GUI_INPUTS	"Sim Mode Location"			1				
SIMM	DBF_MENU				"Simulation Mode"			1				menuYesNo
SIMS	DBF_MENU			GUI_INPUTS	"Sim mode Alarm Svrty"			2				menuAlarmSevr
SIOL	DBF_OUTLINK			GUI_INPUTS	"Sim Output Specifctn"			1				
SPVT	DBF_NOACCESS				"Scan Private"	SPC_NOMOD		4			"struct scan_element *spvt"	
STAT	DBF_MENU		"UDF"		"Alarm Status"	SPC_NOMOD						menuAlarmStat
TIME	DBF_NOACCESS				"Time"	SPC_NOMOD		2			"epicsTimeStamp   time"	
TPRO	DBF_UCHAR				"Trace Processing"							
TSE	DBF_SHORT			GUI_SCAN	"Time Stamp Event"			1				
TSEL	DBF_INLINK			GUI_SCAN	"Time Stamp Link"			1				
UDF	DBF_UCHAR		"1"	GUI_COMMON	"Undefined"		TRUE	1				
VAL	DBF_ENUM	ASL0		GUI_OUTPUT	"Current Value"		TRUE					
WDPT	DBF_NOACCESS				"Watch Dog Timer ID"	SPC_NOMOD		4			"void *   wdpt"	
ZNAM	DBF_STRING		"Done"	GUI_DISPLAY	"Zero Name"		TRUE	1		26		
ZSV	DBF_MENU			GUI_ALARMS	"Zero Error Severity"		TRUE	1				menuAlarmSevr
